,ASYS,CCGI,GE,PCRFY,TSLA,Volume,ElonMusk
1161,3.57,1.1,22.53,6.89,30.02,1869970.0,0.0
1160,3.56,1.17,22.36,6.71,30.66,1301404.0,30.0
1159,3.52,1.25,22.31,6.77,27.66,5670068.0,30.0
1158,3.53,1.25,22.1,6.57,27.54,1527176.0,59.0
1157,3.38,1.25,22.73,6.69,28.49,1758153.0,29.0
1156,3.31,1.25,22.71,6.57,29.28,4342689.0,35.0
1155,3.225,1.39,22.81,6.58,29.16,884305.0,0.0
1154,3.32,1.3,22.79,6.47,29.8,728969.0,62.0
1153,3.28,1.39,22.91,6.42,29.3,1049718.0,0.0
1152,3.28,1.4,22.95,6.46,29.4,1541207.0,60.0
1151,3.26,1.47,23.12,6.47,28.89,938359.0,30.0
1150,3.22,1.6,22.92,6.45,29.25,889679.0,45.0
1149,3.12,1.5,22.62,6.22,28.37,1192092.0,52.0
1148,3.12,1.52,22.43,6.05,28.4,503563.0,35.0
1147,3.12,1.6,22.51,6.11,28.32,450571.0,31.0
1146,3.15,1.6,22.48,6.11,27.64,987535.0,30.0
1145,3.22,1.6,22.64,6.21,27.33,1468667.0,30.0
1144,3.31,1.5,22.64,6.38,28.06,479248.0,0.0
1143,3.3,1.5,22.91,6.43,28.8191,667963.0,29.0
1142,3.31,1.45,22.81,6.43,28.04,740947.0,0.0
1141,3.36,1.41,22.03,6.38,27.74,1027302.0,0.0
1140,3.36,1.5,21.7,6.48,27.85,470198.0,51.0
1139,3.32,1.45,21.28,6.39,28.39,748998.0,0.0
1138,3.36,1.41,21.26,6.36,27.42,1016368.0,30.0
1137,3.37,1.49,21.26,6.27,27.52,577686.0,60.0
1136,3.366,1.61,21.11,6.12,27.38,477305.0,0.0
1135,3.2,1.55,21.06,5.53,28.1314,775142.0,69.0
1134,3.17,1.55,21.34,5.23,29.2454,1024054.0,35.0
1133,3.17,1.65,21.31,5.0,28.9182,1030265.0,0.0
1132,3.15,1.62,21.41,4.77,31.5,2048767.0,30.0
1131,3.13,1.76,21.59,4.81,31.15,2323743.0,60.0
1130,3.19,1.73,21.13,4.81,31.54,1714469.0,40.0
1129,3.12,1.78,20.89,4.86,31.31,1273986.0,29.0
1128,3.06,2.0,21.0,4.93,30.32,862928.0,70.0
1127,3.04,1.91,20.89,4.91,31.07,555896.0,35.0
1126,3.01,1.65,20.68,4.84,31.6143,998263.0,31.0
1125,3.03,1.6,20.01,4.63,31.38,871215.0,45.0
1124,3.0,1.8,20.06,4.93,30.82,983841.0,59.0
1123,2.944,1.78,20.15,5.1,31.8399,908650.0,30.0
1122,2.95,1.59,20.66,5.22,32.92,1392168.0,30.0
1121,2.91,1.5,20.62,4.87,33.0,922427.0,35.0
1120,2.99,1.55,20.68,4.94,32.47,963133.0,0.0
1119,2.97,1.6,21.04,4.88,32.13,430212.0,95.0
1118,2.97,1.59,21.06,4.88,32.27,495739.0,46.0
1117,3.09,1.45,20.87,4.83,32.15,910770.0,30.0
1116,3.07,1.57,21.14,4.9,33.23,1525199.0,45.0
1115,3.14,1.87,21.13,4.95,33.69,1103315.0,60.0
1114,3.22,1.79,21.13,4.96,33.82,1420284.0,35.0
1113,3.1574,1.68,20.82,4.94,34.62,2085639.0,53.0
1112,3.08,1.6,20.86,4.94,33.9,1263240.0,31.0
1111,2.985,1.55,21.23,4.99,33.71,661486.0,31.0
1110,2.96,1.51,21.37,4.96,33.9,657256.0,0.0
1109,2.9,1.57,21.46,5.11,34.17,664386.0,31.0
1108,2.95,1.63,21.39,5.06,34.57,929751.0,32.0
1107,2.96,1.51,21.51,5.06,35.28,1572310.0,36.0
1106,3.1,1.65,21.78,5.43,35.26,2063727.0,0.0
1105,3.0,1.58,21.62,5.74,33.61,2150624.0,33.0
1104,3.0,1.58,21.62,5.71,33.81,1022743.0,49.0
1103,3.04,1.55,21.93,5.89,34.4,824809.0,41.0
1102,3.13,1.55,21.69,5.82,34.59,1553836.0,38.0
1101,3.28,1.5,21.01,5.87,34.61,1269531.0,34.0
1100,3.25,1.6,21.05,6.07,34.43,921194.0,38.0
1099,3.28,1.46,20.88,6.02,34.0,1492306.0,0.0
1098,3.29,1.5,20.82,6.0,34.28,375796.0,35.0
1097,3.28,1.5,20.77,5.98,33.59,601384.0,36.0
1096,3.1314,1.45,20.69,6.04,33.69,561085.0,42.0
1095,3.122,1.46,20.44,5.95,33.22,414035.0,96.0
1094,3.22,1.6,20.99,6.07,33.87,594846.0,70.0
1093,3.39,1.41,21.34,6.27,35.36,1194710.0,39.0
1092,3.68,1.5,21.1,6.23,34.77,741941.0,35.0
1091,3.9,1.45,21.2,6.15,34.4,673993.0,23.0
1090,3.81,1.46,21.13,6.1,34.34,441909.0,21.0
1089,3.84,1.45,20.9,5.92,33.68,1283743.0,33.0
1088,3.98,1.4,20.95,5.95,33.64,697979.0,38.0
