,ASYS,CCGI,GE,PCRFY,TSLA,Volume,ElonMusk
833,8.9,1.3,26.97,12.85,161.27,27558800.0,53.0
832,9.25,1.2,27.34,13.1,164.13,20461310.0,0.0
831,9.39,1.4,27.2,13.0,170.97,11957980.0,0.0
830,9.39,1.36,26.58,12.9,170.01,9205616.0,0.0
829,9.39,1.29,26.29,12.387,176.68,9550446.0,0.0
828,9.49,1.33,25.99,12.09,178.56,7021769.0,27.0
827,9.48,1.27,25.82,12.14,181.5,7863768.0,53.0
826,9.17,1.29,24.95,11.67,174.6,7684134.0,0.0
825,8.88,1.31,25.07,11.49,169.62,8714715.0,0.0
824,9.02,1.26,25.46,11.82,178.38,6090396.0,0.0
823,9.41,1.2,25.29,11.77,175.23,5934083.0,0.0
822,9.68,1.2,25.5,11.8,182.84,8562363.0,0.0
821,9.67,1.22,25.13,11.35,181.41,6507957.0,0.0
820,9.14,1.15,24.35,10.995,177.11,6764261.0,0.0
819,9.01,1.17,24.57,11.325,178.73,4685739.0,0.0
818,9.12,1.21,24.52,12.48,174.42,7267674.0,0.0
817,8.8,1.28,24.95,12.21,178.38,5840728.0,0.0
816,9.89,1.36,25.19,11.8115,186.53,8951247.0,0.0
815,9.51,1.32,25.05,11.76,196.56,12963450.0,0.0
814,9.44,1.23,25.43,11.95,196.62,10681830.0,0.0
813,9.39,1.23,25.39,11.91,195.32,5171888.0,54.0
812,9.66,1.25,25.44,11.65,199.63,8024948.0,26.0
811,9.88,1.23,25.74,11.37,198.23,6164371.0,0.0
810,10.26,1.23,25.65,11.54,203.7,9327414.0,0.0
809,9.98,1.19,25.4,11.15,193.64,16038700.0,0.0
808,9.87,1.18,25.12,11.08,209.97,18000940.0,0.0
807,9.95,1.19,24.94,11.36,209.6,7817352.0,0.0
806,9.94,1.18,25.29,11.76,217.65,8286273.0,26.0
805,9.99,1.21,25.27,12.125,248.0,32648710.0,27.0
804,10.05,1.18,25.3,12.69,253.0,24535130.0,0.0
803,11.39,1.21,25.5,12.71,252.54,17939220.0,32.0
802,11.16,1.19,25.47,12.594,244.81,14585150.0,28.0
801,12.0,1.18,25.12,12.48,250.56,13083260.0,28.0
800,12.9,1.18,25.65,13.05,254.84,8739446.0,0.0
799,12.98,1.14,25.93,12.72,252.66,5932037.0,27.0
798,13.51,1.15,26.22,12.83,252.94,7356920.0,0.0
797,13.14,1.19,26.13,12.63,246.21,7806564.0,0.0
796,12.11,1.15,26.04,12.69,238.84,7725236.0,0.0
795,12.105,1.13,25.9,12.35,234.41,8792986.0,28.0
794,12.08,1.18,25.76,12.31,241.49,9779276.0,0.0
793,11.45,1.13,25.34,12.0,237.79,6223150.0,0.0
792,12.01,1.12,25.11,11.84,230.97,8254035.0,27.0
791,12.63,1.12,25.43,11.985,233.98,5898403.0,27.0
790,13.02,1.09,25.65,11.868,240.04,6231210.0,0.0
789,13.42,0.928,25.28,11.795,235.84,5063434.0,0.0
788,12.87,0.99,25.27,11.26,234.91,3811031.0,29.0
787,13.13,0.98,25.4,11.33,228.89,8214207.0,0.0
786,12.89,0.91,25.41,11.78,220.17,11327430.0,0.0
785,12.77,0.9,25.7,11.86,220.44,7852386.0,27.0
784,12.35,0.92,25.62,11.68,212.96,6886279.0,28.0
783,12.26,0.89,25.81,11.6925,207.32,9493537.0,0.0
782,11.85,0.8,25.88,11.4595,212.37,9666658.0,0.0
781,12.17,0.78,25.89,11.44,208.45,8367389.0,0.0
780,12.34,0.8,25.87,11.73,216.97,7353574.0,28.0
779,12.8,0.798,26.04,11.85,230.29,10738310.0,28.0
778,12.23,0.795,26.23,11.8,225.4,10908080.0,29.0
777,11.35,0.775,26.02,11.71,212.225,11320310.0,0.0
776,10.24,0.81,25.85,11.24,207.52,9828543.0,0.0
775,10.02,0.975,25.75,11.0,215.46,6874813.0,34.0
774,9.94,1.1,25.95,10.96,216.93,5139881.0,0.0
773,9.86,0.98,25.58,10.65,204.19,7187816.0,0.0
772,9.75,1.02,25.43,10.63,203.78,9065584.0,0.0
771,9.54,1.06,25.71,10.67,198.09,7685123.0,0.0
770,9.34,1.05,25.82,10.66,193.91,13653420.0,0.0
769,9.38,0.95,26.12,11.01,199.11,7191261.0,0.0
768,9.45,1.0,26.56,10.93,198.12,5924244.0,0.0
767,9.33,0.95,26.59,11.02,204.38,5253883.0,0.0
766,9.37,1.05,26.58,10.945,218.64,9794687.0,28.0
765,9.03,1.0655,26.42,10.95,207.99,7268439.0,27.0
764,9.21,1.05,26.46,10.919,207.86,5491680.0,27.0
763,8.95,1.04,26.6,10.925,199.85,6981460.0,28.0
762,8.83,1.1,26.78,10.9,198.51,7033657.0,33.0
761,8.31,1.0,26.76,10.97,206.92,5777233.0,100.0
760,8.55,1.0,26.89,10.94,207.89,4432163.0,0.0
759,8.75,1.02,26.77,11.08,207.73,5435136.0,0.0
758,9.14,1.02,26.68,10.88,210.91,4082110.0,0.0
757,9.66,0.97,26.58,10.84,216.61,5141376.0,0.0
756,9.54,0.98,26.19,10.805,207.28,5620063.0,0.0
755,9.34,1.01,26.53,10.704,201.35,9790232.0,33.0
754,8.7,0.95,26.44,10.395,178.59,20019100.0,33.0
753,8.83,0.95,26.42,10.53,182.26,8479005.0,29.0
752,9.05,0.97,26.85,10.53,184.67,6993022.0,0.0
751,9.15,0.95,26.92,10.85,190.16,7084879.0,0.0
750,9.0,0.9,26.76,10.65,190.62,5406485.0,28.0
749,8.64,0.93,26.6,10.58,188.59,6034175.0,0.0
748,8.18,0.96,26.67,10.6,191.56,4483793.0,0.0
747,7.72,0.93,26.61,10.56,196.09,4561228.0,0.0
746,8.08,0.91,26.3,10.246,195.3,5543292.0,29.0
745,8.23,0.945,26.49,10.476,199.45,5279959.0,29.0
744,8.24,0.94,26.51,10.529,204.88,6211225.0,0.0
743,8.4,0.94,26.51,10.698,207.3,4006375.0,28.0
742,8.54,0.89,26.57,10.66,211.56,5341031.0,0.0
741,9.21,0.9,26.66,10.59,210.24,5493348.0,0.0
740,9.72,0.9,26.74,10.9,210.24,3689058.0,34.0
739,9.88,0.93,26.79,10.86,207.77,5575300.0,0.0
738,10.01,0.9,26.83,11.08,204.7,4652328.0,29.0
737,10.52,0.88,26.79,11.01,204.94,3851031.0,30.0
736,10.49,0.91,26.55,11.1,203.99,3426272.0,0.0
735,10.32,0.92,26.77,11.14,206.9,4050298.0,0.0
734,10.45,0.94,27.18,11.238,208.171,3072420.0,0.0
733,10.8,0.9,27.44,11.51,205.31,2797244.0,0.0
732,10.71,0.88,27.41,11.48,202.3,3512577.0,32.0
731,10.7,0.88,27.15,11.42,204.47,3972835.0,0.0
730,10.71,0.85,26.96,11.4495,203.52,5990869.0,0.0
729,10.79,0.89,27.04,11.794,206.42,3538580.0,0.0
728,10.35,0.85,26.82,11.66,224.61,13179430.0,0.0
727,11.38,0.89,26.87,11.77,231.67,13245010.0,0.0
726,11.64,0.88,26.89,12.18,227.12,6935728.0,57.0
725,11.27,0.94,26.93,12.205,227.79,8787412.0,0.0
724,11.27,0.95,26.97,12.33,229.59,4833831.0,48.0
723,11.17,0.947,26.68,12.135,237.22,7786840.0,0.0
722,10.75,0.91,26.58,12.11,232.5,8072941.0,0.0
721,11.35,0.89,26.42,12.25,236.891,5797647.0,0.0
720,12.06,0.85,26.29,12.15,235.6,5115863.0,0.0
719,11.68,0.831,26.43,12.09,239.06,5630478.0,0.0
718,12.23,0.81,26.28,12.18,240.06,4827429.0,0.0
717,12.02,0.819,26.4,12.38,239.72,4335572.0,46.0
716,12.03,0.78,26.61,12.21,229.425,8023360.0,45.0
715,12.01,0.79,26.86,12.29,229.25,5166716.0,44.0
714,11.51,0.73,26.75,12.2,222.66,5890031.0,0.0
713,11.2,0.68,26.37,12.13,219.07,7835876.0,0.0
712,11.24,0.69,26.32,12.22,223.06,4109200.0,0.0
711,11.18,0.65,26.2,11.99,219.46,4860182.0,0.0
710,11.08,0.68,26.55,12.04,218.13,3299420.0,0.0
709,10.79,0.651,26.66,12.18,226.7,7197985.0,0.0
708,10.24,0.68,26.61,12.095,219.58,5714611.0,0.0
707,9.8,0.65,27.02,12.08,217.16,4041669.0,43.0
706,9.92,0.65,26.61,11.84,215.4,4647517.0,43.0
705,9.83,0.68,26.46,11.895,220.0201,4251431.0,0.0
704,9.56,0.66,25.98,11.81,220.54,3820853.0,52.0
703,10.12,0.69,26.02,12.025,219.58,2726970.0,0.0
702,10.06,0.67,25.91,12.01,222.49,3076389.0,0.0
701,10.06,0.66,25.94,12.04,223.54,3112168.0,43.0
700,10.23,0.66,25.79,12.2,223.57,3086412.0,43.0
699,10.54,0.62,25.59,12.33,224.82,6500081.0,87.0
698,10.81,0.49,25.45,12.19,225.01,3379790.0,52.0
697,10.28,0.52,25.64,12.3215,228.92,4913849.0,0.0
696,9.78,0.549,25.15,12.62,223.3,7578882.0,48.0
695,9.71,0.5,25.35,12.25,233.27,11890160.0,47.0
694,9.29,0.5,25.27,12.185,238.52,5958085.0,0.0
693,8.84,0.5,25.02,11.97,238.49,5374539.0,44.0
692,8.96,0.51,25.44,11.9,248.9301,9215111.0,44.0
691,9.62,0.495,25.5,11.9,252.39,7446499.0,52.0
690,9.43,0.505,25.66,12.06,248.13,5087861.0,0.0
689,9.28,0.51,25.79,11.938,259.32,8062178.0,47.0
688,8.95,0.5,25.61,11.905,259.96,6375347.0,0.0
687,10.24,0.5,25.83,12.18,260.31,6896614.0,0.0
686,10.52,0.498,25.88,12.23,261.38,4116762.0,0.0
685,10.51,0.49,25.64,12.18,262.01,3855470.0,45.0
684,10.43,0.536,26.07,12.29,259.94,5830865.0,53.0
683,10.22,0.535,26.05,12.275,256.76,5332746.0,0.0
682,10.03,0.54,26.36,12.126,255.71,3012856.0,0.0
681,10.12,0.5299,26.43,12.12,254.34,2910671.0,45.0
680,10.58,0.58,26.15,11.94,256.78,2833061.0,0.0
679,10.65,0.685,26.2,12.005,262.55,4304272.0,44.0
678,10.68,0.7,26.01,12.04,261.74,3812541.0,0.0
677,10.57,0.652,26.13,12.098,263.25,2983830.0,0.0
676,10.57,0.65,26.01,12.12,263.86,2843648.0,0.0
675,10.64,0.65,25.98,12.28,269.7,6436176.0,49.0
674,10.67,0.645,25.85,12.379,284.12,9782339.0,0.0
673,10.93,0.63,25.95,12.515,281.19,6766420.0,0.0
672,10.8,0.62,25.96,12.498,286.04,8266173.0,44.0
671,11.25,0.66,26.1,12.39,277.39,11163820.0,0.0
670,11.31,0.7,26.08,12.3526,282.11,5495160.0,0.0
669,10.65,0.7,25.9,12.13,278.48,4556123.0,84.0
668,10.84,0.67,25.95,12.35,281.1,3776593.0,0.0
667,10.9,0.6999,26.02,12.28,280.31,3761617.0,0.0
666,10.84,0.68,25.87,12.22,279.2,3323300.0,0.0
665,10.68,0.64,25.92,12.22,253.86,16433840.0,45.0
664,10.66,0.5999,26.21,12.31,260.74,8297454.0,0.0
663,11.12,0.59,26.27,12.219,261.38,5172994.0,54.0
662,11.3,0.565,26.21,12.2,263.82,3689477.0,0.0
661,11.55,0.6,26.29,12.14,259.32,6800975.0,0.0
660,10.74,0.6,26.08,12.095,250.03,8209186.0,0.0
659,10.66,0.585,26.02,12.06,250.41,5656567.0,0.0
658,10.82,0.5801,25.93,12.09,252.14,3745005.0,0.0
657,10.79,0.58,25.55,12.02,246.95,4832853.0,45.0
656,10.62,0.6,25.63,12.11,246.6,3794912.0,54.0
655,10.6,0.59,25.42,12.06,245.26,4851868.0,56.0
654,10.7,0.6,25.62,11.98,242.68,4236096.0,0.0
653,11.0,0.56,25.16,11.72,240.24,5940566.0,46.0
652,10.77,0.6,25.12,11.425,251.42,8988300.0,45.0
651,10.66,0.58,25.4,11.62,255.21,5403599.0,45.0
650,10.29,0.565,25.22,11.64,260.62,7706193.0,46.0
649,9.63,0.55,24.81,11.61,259.57,4478558.0,0.0
648,9.66,0.52,25.25,11.746,259.28,5046873.0,0.0
647,9.39,0.525,24.78,11.398,257.01,7339097.0,0.0
646,9.36,0.525,24.27,11.13,236.91,12885920.0,0.0
645,9.26,0.52,23.95,10.97,224.59,11251400.0,0.0
644,9.23,0.52,24.1,10.9,227.06,7099492.0,0.0
643,9.19,0.53,24.28,10.81,229.7,9118331.0,47.0
642,9.85,0.5212,24.25,10.69,226.35,5393830.0,0.0
641,10.04,0.52,24.82,10.785,227.48,10547970.0,0.0
640,10.05,0.48,25.03,11.04,230.47,3489785.0,0.0
639,10.13,0.52,25.45,11.19,235.34,4106596.0,0.0
638,10.07,0.49,25.19,11.14,231.1,4116243.0,0.0
637,10.14,0.52,25.44,11.225,235.29,3486305.0,47.0
636,10.16,0.47,25.64,11.21,235.24,3458805.0,46.0
635,10.16,0.465,25.52,11.25,221.67,9532988.0,57.0
634,10.19,0.48,25.88,11.27,242.77,10443900.0,58.0
633,10.11,0.46,25.66,11.475,238.1,4961013.0,0.0
632,10.11,0.49,25.67,11.65,238.66,3225881.0,0.0
631,10.53,0.4799,25.81,12.14,241.7,3765160.0,0.0
630,10.42,0.47,25.7,12.13,242.59,4203208.0,47.0
629,10.2,0.47,25.7,12.23,238.93,3673632.0,0.0
628,10.15,0.45,25.82,12.1,230.97,8497418.0,0.0
627,9.94,0.45,26.36,12.05,241.22,15336550.0,0.0
626,10.28,0.4501,26.41,12.2,240.2,5154893.0,0.0
625,10.09,0.45,26.47,12.42,241.93,4563814.0,0.0
624,10.11,0.44,26.38,12.465,251.08,7946898.0,48.0
623,9.92,0.43,26.52,12.31,249.1,5861639.0,47.0
622,9.75,0.4205,26.42,12.3801,251.7,6230288.0,0.0
621,9.9,0.43,26.46,12.51,258.68,6093385.0,0.0
620,9.74,0.43,26.61,12.41,253.98,4017356.0,0.0
619,9.98,0.42,27.01,12.63,257.7,4467427.0,0.0
618,9.96,0.43,26.92,12.62,247.74,7912956.0,0.0
617,10.25,0.41,26.85,12.4257,248.71,3583496.0,0.0
616,9.67,0.41,26.99,12.55,242.78,7462672.0,0.0
615,9.54,0.39,27.0,12.52,246.72,4780202.0,0.0
614,9.2,0.405,26.86,12.64,248.09,3154710.0,0.0
613,9.08,0.43,26.87,12.725,248.44,1980832.0,0.0
612,8.85,0.45,26.49,12.84,244.52,2119688.0,0.0
611,8.4,0.445,26.02,13.03,231.64,8603799.0,50.0
610,8.64,0.44,26.05,13.135,231.43,5871559.0,0.0
609,8.47,0.4111,26.38,13.29,229.3,5299675.0,0.0
608,8.4,0.4,26.09,13.16,228.28,3862801.0,49.0
607,8.4,0.39,26.01,13.18,223.71,6061390.0,0.0
606,7.99,0.374,25.69,12.79,214.36,9217376.0,0.0
605,7.87,0.365,25.58,12.51,216.89,9427065.0,0.0
604,7.69,0.36,25.27,12.27,209.84,7308173.0,51.0
603,7.82,0.39,25.41,12.21,208.88,6684459.0,75.0
602,8.08,0.3299,24.89,12.13,207.0,7167174.0,100.0
601,7.71,0.31,24.59,11.94,204.04,5195647.0,0.0
600,8.01,0.3202,24.49,12.02,197.81,8416179.0,0.0
599,8.29,0.33,24.66,11.99,205.82,7363036.0,0.0
598,8.29,0.33,25.14,12.165,218.26,7465122.0,0.0
597,8.17,0.303,25.62,12.12,219.29,6902061.0,0.0
596,8.5,0.4,25.71,12.0285,222.6,4802547.0,52.0
595,8.29,0.3441,25.88,12.06,220.97,4509545.0,50.0
594,8.45,0.3401,25.83,12.06,222.26,1333518.0,50.0
593,8.27,0.3596,25.78,12.1085,227.82,3324437.0,62.0
592,8.48,0.4,25.7,12.055,225.71,2802982.0,0.0
591,9.65,0.35,25.57,11.81,222.23,2898272.0,0.0
590,10.2,0.41,25.27,11.77,222.41,2392947.0,0.0
589,10.27,0.43,25.06,11.8,219.31,4753239.0,49.0
588,9.62,0.44,24.6,11.68,210.09,5355485.0,0.0
587,9.51,0.4011,24.07,11.515,211.28,6257651.0,0.0
586,9.375,0.44,24.08,11.5,210.95,2965330.0,62.0
585,9.57,0.44,24.37,11.71,210.615,3434901.0,0.0
584,9.55,0.44,24.03,11.53,206.66,4591310.0,0.0
583,9.23,0.4001,23.98,11.525,202.21,5945607.0,0.0
582,9.29,0.41,23.86,11.51,204.25,4247704.0,0.0
581,9.19,0.43,23.78,11.38,192.69,11516340.0,50.0
580,8.74,0.43,23.58,11.34,191.87,5204777.0,0.0
579,9.53,0.43,23.59,11.47,193.07,3590855.0,0.0
578,9.35,0.43,23.85,11.59,191.93,4490681.0,0.0
577,8.95,0.4,24.04,11.345,196.57,4144121.0,0.0
576,9.03,0.404,24.28,11.33,201.62,4103753.0,51.0
575,9.01,0.42,24.48,11.22,201.29,3441052.0,0.0
574,8.97,0.44,24.59,11.34,206.55,3231121.0,0.0
573,8.75,0.4002,24.38,11.53,205.98,2777926.0,0.0
572,8.51,0.435,23.84,11.73,199.37,3139481.0,0.0
571,8.26,0.44,24.08,11.71,205.2,3542577.0,0.0
570,8.2,0.43,23.89,11.35,203.6,3001268.0,0.0
569,8.07,0.43,24.21,11.43,210.94,4143850.0,0.0
568,8.41,0.4195,24.47,11.34,218.36,4815834.0,0.0
567,8.61,0.4,24.16,11.26,218.55,3304417.0,0.0
566,8.75,0.405,24.5,11.21,220.99,3518316.0,49.0
565,9.16,0.38,24.52,11.18,217.36,3235856.0,62.0
564,9.28,0.38,24.64,11.015,217.48,3469776.0,0.0
563,9.37,0.3999,24.72,11.16,216.29,5348862.0,0.0
562,9.52,0.3801,24.77,11.15,212.8,9053083.0,0.0
561,9.57,0.39,24.89,11.45,202.88,15626830.0,0.0
560,9.87,0.42,25.15,11.71,203.77,6148207.0,49.0
559,9.65,0.4001,25.17,11.87,204.35,3964555.0,0.0
558,9.85,0.4099,25.25,12.32,204.46,2710898.0,0.0
557,9.93,0.39,25.01,12.38,211.705,5137203.0,62.0
556,10.49,0.4,25.21,12.35,217.11,5978376.0,0.0
555,10.57,0.395,25.17,12.12,207.335,8487131.0,0.0
554,11.16,0.38,25.39,12.17,204.11,6587298.0,0.0
553,10.94,0.41,25.91,12.18,203.76,3907505.0,0.0
552,10.81,0.41,25.89,12.23,207.19,6468020.0,0.0
551,10.82,0.39,25.99,12.45,203.34,3871397.0,0.0
550,11.0,0.4,26.11,12.69,197.325,7910402.0,0.0
549,10.72,0.4,25.86,12.54,199.56,4430800.0,0.0
548,10.64,0.3795,25.66,12.57,202.435,4215255.0,0.0
547,11.31,0.4089,25.82,12.545,200.63,4870131.0,49.0
546,10.96,0.4083,25.42,12.58,193.88,6705451.0,0.0
545,11.01,0.3601,25.64,12.52,190.88,6732511.0,42.0
544,10.58,0.38,25.17,12.36,190.32,5539041.0,42.0
543,10.91,0.37,25.19,12.4,193.74,4968406.0,0.0
542,11.02,0.376,25.4,12.7,191.07,4139769.0,53.0
541,11.16,0.38,25.04,12.63,188.68,5421293.0,0.0
540,11.06,0.38,25.45,12.69,195.7,5617028.0,0.0
539,11.04,0.37,25.31,12.828,194.73,4890265.0,0.0
538,11.05,0.38,25.64,12.91,200.71,4796873.0,0.0
537,11.96,0.4,25.33,12.89,195.65,8468846.0,0.0
536,11.85,0.4,25.4,13.09,198.08,4250076.0,0.0
535,11.98,0.3601,25.47,13.024,199.63,2622492.0,0.0
534,11.85,0.399,25.27,12.88,201.72,3640866.0,45.0
533,11.26,0.38,24.91,12.84,194.3,5721582.0,0.0
532,10.9,0.39,24.8,13.05,190.405,4120184.0,0.0
531,10.91,0.4,24.86,13.19,185.0,8596563.0,0.0
530,11.2,0.3601,25.12,13.25,190.57,10062310.0,0.0
529,11.18,0.3611,24.81,13.13,188.77,5017950.0,0.0
528,11.21,0.3612,24.84,13.05,187.59,3791479.0,52.0
527,11.32,0.3615,24.94,13.04,191.0,5004742.0,44.0
526,11.07,0.38,25.18,13.24,203.1,12422770.0,43.0
525,10.77,0.361,25.02,13.3,203.25,4340295.0,42.0
524,10.71,0.3686,25.01,13.3,207.67,6279713.0,42.0
523,10.73,0.3999,25.73,13.24,210.09,3779853.0,41.0
522,10.77,0.37,28.51,13.11,210.9,4020850.0,51.0
521,10.55,0.365,27.63,12.9,209.78,3757220.0,0.0
520,10.38,0.4099,27.73,12.95,207.46,3019087.0,44.0
519,11.24,0.361,27.46,13.08,207.83,1943802.0,42.0
518,11.09,0.362,27.28,13.06,206.7,1657018.0,0.0
517,11.68,0.3699,27.25,13.14,206.79,2465551.0,0.0
516,11.58,0.3699,27.02,13.34,205.27,2558913.0,0.0
515,11.61,0.35,26.62,13.78,209.41,3416177.0,54.0
514,12.01,0.3694,26.91,13.95,219.44,7855513.0,55.0
513,12.2,0.37,26.85,14.23,218.6,4408384.0,45.0
512,12.04,0.3501,26.8,14.157,218.425,2426356.0,0.0
511,11.94,0.38,26.88,14.315,231.55,11659100.0,85.0
510,12.5,0.38,27.12,14.31,230.48,6080178.0,63.0
509,12.44,0.38,27.09,14.2,232.45,3931287.0,0.0
508,12.5,0.36,27.08,14.29,226.05,3892230.0,52.0
507,12.43,0.3699,27.31,14.23,226.03,5276924.0,53.0
506,12.06,0.37,27.27,14.31,230.51,4427259.0,45.0
505,11.44,0.37,26.92,14.085,232.95,5782731.0,44.0
504,11.14,0.3694,26.81,14.01,230.43,5083776.0,0.0
503,11.27,0.345,27.04,13.94,236.8,9439902.0,0.0
502,10.81,0.335,27.36,14.11,236.61,4665445.0,0.0
501,11.05,0.3449,26.92,14.12,239.49,5663800.0,0.0
500,10.79,0.34,27.03,14.01,244.74,6345797.0,0.0
499,10.52,0.3444,27.21,14.18,243.18,5432689.0,0.0
498,10.58,0.3001,27.41,14.13,244.1,2847083.0,0.0
497,10.51,0.33,27.27,14.14,248.84,4519337.0,42.0
496,10.43,0.3052,27.31,14.26,248.75,3349931.0,43.0
495,10.64,0.28,27.35,14.33,247.14,3668199.0,0.0
494,11.19,0.29,27.64,14.94,244.35,3749479.0,51.0
493,11.7,0.28,27.72,14.85,245.62,1966567.0,0.0
492,12.11,0.28,27.68,14.92,247.73,2219309.0,0.0
491,11.94,0.25,27.52,14.8,247.455,3490996.0,43.0
490,11.57,0.2984,27.52,14.992,247.43,3403988.0,0.0
489,11.38,0.2699,27.63,14.87,251.45,3646063.0,0.0
488,11.19,0.2699,27.27,14.63,250.8,3785112.0,0.0
487,10.99,0.2699,27.28,14.65,249.45,2502238.0,0.0
486,10.74,0.2701,27.33,14.535,248.35,2129438.0,0.0
485,11.15,0.2801,27.53,14.53,248.99,1778102.0,45.0
484,11.06,0.29,27.26,14.32,245.92,2425588.0,0.0
483,10.85,0.319,27.29,14.12,249.14,3019837.0,0.0
482,10.99,0.3005,27.24,13.854,256.29,5006944.0,42.0
481,10.82,0.31,27.33,13.594,256.0,2596059.0,42.0
480,10.9,0.32,27.63,14.09,250.7,3452631.0,0.0
479,10.75,0.32,27.51,14.33,251.41,2040973.0,51.0
478,10.55,0.345,27.39,14.35,250.69,1418457.0,45.0
477,10.43,0.33,27.21,14.22,250.38,2182932.0,43.0
476,10.63,0.3051,27.22,14.21,253.12,1980918.0,0.0
475,10.71,0.325,27.27,14.04,260.41,5500560.0,42.0
474,10.61,0.335,27.37,13.96,261.89,2781441.0,0.0
473,10.6,0.3257,27.24,13.89,262.51,2458900.0,0.0
472,10.55,0.35,27.42,13.94,259.79,4559072.0,78.0
471,10.32,0.35,27.55,14.37,267.67,3864602.0,0.0
470,10.17,0.32,27.26,14.21,265.17,2411492.0,43.0
469,10.16,0.2851,27.04,14.34,268.79,2844993.0,100.0
468,10.23,0.34,27.09,14.42,267.09,3829660.0,0.0
467,10.2,0.32,26.64,13.87,262.02,3471452.0,0.0
466,10.39,0.3406,26.57,13.72,268.26,3084435.0,0.0
465,10.32,0.36,26.66,13.85,269.15,2100019.0,0.0
464,10.74,0.36,26.78,13.61,280.02,7155585.0,0.0
463,10.64,0.3101,26.31,13.29,279.72,4109259.0,46.0
462,10.46,0.305,26.47,13.38,267.88,6096385.0,0.0
461,10.31,0.305,25.89,12.65,254.96,6212610.0,0.0
460,10.31,0.31,26.02,12.904,257.92,3329764.0,0.0
459,9.87,0.34,26.27,13.05,259.15,2605215.0,0.0
458,10.03,0.305,26.47,13.37,262.16,2951397.0,0.0
457,9.96,0.305,26.66,13.4,265.65,1905569.0,0.0
456,9.88,0.305,26.77,13.116,263.14,2006860.0,0.0
455,9.5,0.34,27.04,12.94,266.68,1598253.0,0.0
454,9.29,0.3001,27.24,12.945,274.66,4996689.0,0.0
453,9.0,0.34,27.14,12.955,282.26,4969754.0,0.0
452,8.99,0.3101,26.85,12.85,266.77,6091632.0,0.0
451,8.82,0.32,26.63,12.63,267.87,3097326.0,0.0
450,8.07,0.32,26.26,12.505,267.2,2222481.0,0.0
449,7.38,0.3399,25.75,12.36,265.41,2834521.0,0.0
448,6.58,0.32,25.95,12.4,253.01,4688874.0,0.0
447,6.51,0.32,26.1,12.27,264.82,3879330.0,0.0
446,6.56,0.34,26.26,12.19,263.82,2782886.0,43.0
445,6.49,0.306,26.12,11.63,266.79,2030605.0,0.0
444,6.61,0.305,26.1,11.67,266.15,2218004.0,0.0
443,6.88,0.31,25.87,11.75,259.99,2547164.0,0.0
442,6.91,0.2999,25.9,11.43,266.28,2336152.0,0.0
441,7.06,0.31,26.1,11.515,270.13,5969245.0,0.0
440,6.59,0.32,26.03,11.44,246.13,14617820.0,0.0
439,6.0,0.3,25.79,11.59,242.51,5069602.0,42.0
438,5.85,0.31,26.24,11.66,241.14,4179307.0,0.0
437,5.82,0.315,25.71,11.619,237.37,4260892.0,0.0
436,6.06,0.2901,25.86,11.38,238.17,3730138.0,45.0
435,6.26,0.2901,25.79,11.37,242.51,4683330.0,0.0
434,5.83,0.315,26.08,11.28,243.15,4360693.0,0.0
433,5.78,0.29,26.21,11.35,254.99,7168396.0,43.0
432,5.69,0.29,26.07,11.37,260.72,4186051.0,0.0
431,5.57,0.315,25.73,11.28,255.25,3598937.0,0.0
430,5.35,0.31,25.19,10.79,242.18,4892170.0,0.0
429,5.18,0.2801,24.59,10.56,230.77,6578435.0,0.0
428,4.97,0.28,23.87,10.13,218.87,9562484.0,0.0
427,4.91,0.3049,23.27,10.2,220.03,4313679.0,0.0
426,4.97,0.29,24.01,10.88,224.84,4951300.0,0.0
425,5.4,0.29,25.01,10.78,242.99,7645773.0,43.0
424,5.39,0.29,25.16,10.92,248.48,5507336.0,51.0
423,5.46,0.28,24.82,10.935,249.06,4688373.0,0.0
422,5.45,0.2804,23.88,10.57,238.63,5443901.0,0.0
421,5.34,0.295,24.57,10.52,247.69,4590857.0,43.0
420,5.45,0.295,24.51,10.584,245.57,4184808.0,43.0
419,5.36,0.28,24.0,10.07,241.93,3687456.0,0.0
418,5.28,0.285,24.96,10.575,248.17,3129871.0,0.0
417,5.23,0.295,24.55,10.65,248.91,3384981.0,0.0
416,5.1,0.3,24.68,10.615,248.48,2706874.0,0.0
415,4.99,0.265,24.95,10.54,250.24,2346802.0,0.0
414,4.92,0.265,24.77,10.555,253.19,2885610.0,87.0
413,4.81,0.255,25.3,10.905,253.57,2931607.0,0.0
412,5.1,0.28,25.93,11.3,262.25,4405706.0,0.0
411,5.16,0.2599,25.35,11.21,262.07,3575221.0,0.0
410,5.2,0.26,24.8,10.85,260.62,3760644.0,0.0
409,4.96,0.25,25.09,10.88,264.2,6114615.0,0.0
408,4.57,0.25,25.11,10.71,260.94,3660643.0,0.0
407,4.65,0.25,25.14,10.65,261.06,2597170.0,0.0
406,4.79,0.25,24.91,10.29,263.12,3442668.0,0.0
405,4.69,0.235,24.92,10.335,256.91,3771395.0,0.0
404,4.48,0.2102,24.31,10.15,248.43,4893113.0,43.0
403,4.36,0.23,24.57,9.96,246.65,3695972.0,0.0
402,4.3,0.23,25.22,10.11,248.4,4925751.0,0.0
401,4.28,0.2,25.19,10.28,239.88,4568261.0,0.0
