,date,value
164,2011-06-14,45
165,2011-06-15,0
166,2011-06-16,0
167,2011-06-17,0
168,2011-06-18,0
169,2011-06-19,0
170,2011-06-20,45
171,2011-06-21,0
172,2011-06-22,0
173,2011-06-23,49
174,2011-06-24,100
175,2011-06-25,0
176,2011-06-26,61
177,2011-06-27,46
178,2011-06-28,0
179,2011-06-29,0
180,2011-06-30,47
181,2011-07-01,0
182,2011-07-01,0
183,2011-07-02,0
184,2011-07-03,36
185,2011-07-04,29
186,2011-07-05,0
187,2011-07-06,28
188,2011-07-07,28
189,2011-07-08,29
190,2011-07-09,0
191,2011-07-10,54
192,2011-07-11,27
193,2011-07-12,28
194,2011-07-13,0
195,2011-07-14,0
196,2011-07-15,0
197,2011-07-16,0
198,2011-07-17,0
199,2011-07-18,0
200,2011-07-19,27
201,2011-07-20,28
202,2011-07-21,27
203,2011-07-22,58
204,2011-07-23,0
205,2011-07-24,0
206,2011-07-25,0
207,2011-07-26,28
208,2011-07-27,0
209,2011-07-28,0
210,2011-07-29,29
211,2011-07-30,0
212,2011-07-31,53
213,2011-08-01,0
214,2011-08-02,55
215,2011-08-03,28
216,2011-08-04,55
217,2011-08-05,0
218,2011-08-06,0
219,2011-08-07,34
220,2011-08-08,0
221,2011-08-09,0
222,2011-08-10,0
223,2011-08-11,27
224,2011-08-12,0
225,2011-08-13,0
226,2011-08-14,0
227,2011-08-15,28
228,2011-08-16,27
229,2011-08-17,0
230,2011-08-18,0
231,2011-08-19,28
232,2011-08-20,34
233,2011-08-21,67
234,2011-08-22,0
235,2011-08-23,0
236,2011-08-24,0
237,2011-08-25,26
238,2011-08-26,0
239,2011-08-27,0
240,2011-08-28,0
241,2011-08-29,27
242,2011-08-30,26
243,2011-08-31,26
244,2011-09-01,0
245,2011-09-02,0
246,2011-09-03,0
247,2011-09-04,0
248,2011-09-05,26
249,2011-09-06,25
250,2011-09-07,26
251,2011-09-08,26
252,2011-09-09,27
253,2011-09-10,0
254,2011-09-11,0
255,2011-09-12,0
256,2011-09-13,0
257,2011-09-14,0
258,2011-09-15,38
259,2011-09-16,27
260,2011-09-17,0
261,2011-09-18,0
262,2011-09-19,0
263,2011-09-20,25
264,2011-09-21,25
265,2011-09-22,25
266,2011-09-23,26
267,2011-09-24,0
268,2011-09-25,31
269,2011-09-26,0
270,2011-09-27,0
271,2011-09-28,25
272,2011-09-29,0
273,2011-09-30,27
274,2011-10-01,0
275,2011-10-02,31
276,2011-10-03,0
277,2011-10-04,24
278,2011-10-05,25
279,2011-10-06,0
280,2011-10-07,0
281,2011-10-08,0
282,2011-10-09,0
283,2011-10-10,49
284,2011-10-11,23
285,2011-10-12,0
286,2011-10-13,25
287,2011-10-14,0
288,2011-10-15,0
289,2011-10-16,0
290,2011-10-17,24
291,2011-10-18,0
292,2011-10-19,49
293,2011-10-20,37
294,2011-10-21,0
295,2011-10-22,30
296,2011-10-23,29
297,2011-10-24,0
298,2011-10-25,24
299,2011-10-26,24
300,2011-10-27,0
301,2011-10-28,26
302,2011-10-29,30
303,2011-10-30,0
304,2011-10-31,25
305,2011-11-01,25
306,2011-11-02,0
307,2011-11-03,0
308,2011-11-04,25
309,2011-11-05,0
310,2011-11-06,58
311,2011-11-07,24
312,2011-11-08,24
313,2011-11-09,24
314,2011-11-10,24
315,2011-11-11,0
316,2011-11-12,30
317,2011-11-13,29
318,2011-11-14,24
319,2011-11-15,24
320,2011-11-16,48
321,2011-11-17,24
322,2011-11-18,100
323,2011-11-19,0
324,2011-11-20,0
325,2011-11-21,0
326,2011-11-22,24
327,2011-11-23,0
328,2011-11-24,25
329,2011-11-25,0
330,2011-11-26,29
331,2011-11-27,28
332,2011-11-28,0
333,2011-11-29,23
334,2011-11-30,47
335,2011-12-01,0
336,2011-12-02,0
337,2011-12-03,0
338,2011-12-04,28
339,2011-12-05,35
340,2011-12-06,0
341,2011-12-07,0
342,2011-12-08,0
343,2011-12-09,50
344,2011-12-10,29
345,2011-12-11,0
346,2011-12-12,0
347,2011-12-13,0
348,2011-12-14,0
349,2011-12-15,24
350,2011-12-16,0
351,2011-12-17,0
352,2011-12-18,29
353,2011-12-19,0
354,2011-12-20,24
355,2011-12-21,25
356,2011-12-22,51
357,2011-12-23,0
358,2011-12-24,0
359,2011-12-25,34
360,2011-12-26,28
361,2011-12-27,0
362,2011-12-28,25
363,2011-12-29,26
364,2011-12-29,46
365,2011-12-30,0
366,2011-12-31,57
367,2012-01-01,59
368,2012-01-02,46
369,2012-01-03,0
370,2012-01-04,42
371,2012-01-05,0
372,2012-01-06,0
373,2012-01-07,0
374,2012-01-08,48
375,2012-01-09,0
376,2012-01-10,0
377,2012-01-11,0
378,2012-01-12,0
379,2012-01-13,0
380,2012-01-14,0
381,2012-01-15,49
382,2012-01-16,40
383,2012-01-17,40
384,2012-01-18,0
385,2012-01-19,0
386,2012-01-20,0
387,2012-01-21,0
388,2012-01-22,0
389,2012-01-23,80
390,2012-01-24,0
391,2012-01-25,40
392,2012-01-26,41
393,2012-01-27,0
394,2012-01-28,49
395,2012-01-29,0
396,2012-01-30,40
397,2012-01-31,40
398,2012-02-01,40
399,2012-02-02,40
400,2012-02-03,0
401,2012-02-04,0
402,2012-02-05,48
403,2012-02-06,0
404,2012-02-07,0
405,2012-02-08,0
406,2012-02-09,40
407,2012-02-10,0
408,2012-02-11,0
409,2012-02-12,0
410,2012-02-13,0
411,2012-02-14,0
412,2012-02-15,41
