,date,value
0,2011-07-01,0
1,2011-07-02,0
2,2011-07-03,0
3,2011-07-04,0
4,2011-07-05,0
5,2011-07-06,0
6,2011-07-07,0
7,2011-07-08,0
8,2011-07-09,0
9,2011-07-10,0
10,2011-07-11,0
11,2011-07-12,0
12,2011-07-13,0
13,2011-07-14,0
14,2011-07-15,0
15,2011-07-16,0
16,2011-07-17,0
17,2011-07-18,0
18,2011-07-19,0
19,2011-07-20,0
20,2011-07-21,0
21,2011-07-22,0
22,2011-07-23,0
23,2011-07-24,0
24,2011-07-25,0
25,2011-07-26,0
26,2011-07-27,0
27,2011-07-28,0
28,2011-07-29,0
29,2011-07-30,0
30,2011-07-31,0
31,2011-08-01,0
32,2011-08-02,0
33,2011-08-03,0
34,2011-08-04,0
35,2011-08-05,0
36,2011-08-06,0
37,2011-08-07,0
38,2011-08-08,0
39,2011-08-09,0
40,2011-08-10,100
41,2011-08-11,0
42,2011-08-12,0
43,2011-08-13,0
44,2011-08-14,0
45,2011-08-15,0
46,2011-08-16,0
47,2011-08-17,0
48,2011-08-18,0
49,2011-08-19,0
50,2011-08-20,0
51,2011-08-21,0
52,2011-08-22,0
53,2011-08-23,0
54,2011-08-24,0
55,2011-08-25,0
56,2011-08-26,0
57,2011-08-27,0
58,2011-08-28,0
59,2011-08-29,0
60,2011-08-30,0
61,2011-08-31,0
62,2011-09-01,0
63,2011-09-02,0
64,2011-09-03,0
65,2011-09-04,0
66,2011-09-05,0
67,2011-09-06,0
68,2011-09-07,0
69,2011-09-08,0
70,2011-09-09,0
71,2011-09-10,0
72,2011-09-11,0
73,2011-09-12,0
74,2011-09-13,0
75,2011-09-14,0
76,2011-09-15,0
77,2011-09-16,0
78,2011-09-17,0
79,2011-09-18,0
80,2011-09-19,0
81,2011-09-20,0
82,2011-09-21,0
83,2011-09-22,0
84,2011-09-23,0
85,2011-09-24,0
86,2011-09-25,0
87,2011-09-26,0
88,2011-09-27,0
89,2011-09-28,0
90,2011-09-29,0
91,2011-09-30,0
92,2011-10-01,0
93,2011-10-02,0
94,2011-10-03,0
95,2011-10-04,0
96,2011-10-05,0
97,2011-10-06,0
98,2011-10-07,0
99,2011-10-08,0
100,2011-10-09,0
101,2011-10-10,0
102,2011-10-11,0
103,2011-10-12,0
104,2011-10-13,0
105,2011-10-14,0
106,2011-10-15,0
107,2011-10-16,0
108,2011-10-17,0
109,2011-10-18,0
110,2011-10-19,0
111,2011-10-20,0
112,2011-10-21,0
113,2011-10-22,0
114,2011-10-23,0
115,2011-10-24,0
116,2011-10-25,0
117,2011-10-26,0
118,2011-10-27,0
119,2011-10-28,0
120,2011-10-29,0
121,2011-10-30,0
122,2011-10-31,0
123,2011-11-01,0
124,2011-11-02,0
125,2011-11-03,0
126,2011-11-04,0
127,2011-11-05,0
128,2011-11-06,0
129,2011-11-07,0
130,2011-11-08,0
131,2011-11-09,0
132,2011-11-10,0
133,2011-11-11,0
134,2011-11-12,0
135,2011-11-13,0
136,2011-11-14,0
137,2011-11-15,0
138,2011-11-16,0
139,2011-11-17,0
140,2011-11-18,0
141,2011-11-19,0
142,2011-11-20,0
143,2011-11-21,0
144,2011-11-22,0
145,2011-11-23,0
146,2011-11-24,0
147,2011-11-25,0
148,2011-11-26,0
149,2011-11-27,0
150,2011-11-28,0
151,2011-11-29,0
152,2011-11-30,0
153,2011-12-01,0
154,2011-12-02,0
155,2011-12-03,0
156,2011-12-04,0
157,2011-12-05,0
158,2011-12-06,0
159,2011-12-07,0
160,2011-12-08,0
161,2011-12-09,0
162,2011-12-10,0
163,2011-12-11,0
164,2011-12-12,0
165,2011-12-13,0
166,2011-12-14,0
167,2011-12-15,0
168,2011-12-16,0
169,2011-12-17,0
170,2011-12-18,0
171,2011-12-19,0
172,2011-12-20,0
173,2011-12-21,0
174,2011-12-22,0
175,2011-12-23,0
176,2011-12-24,0
177,2011-12-25,0
178,2011-12-26,0
179,2011-12-27,0
180,2011-12-28,0
181,2011-12-29,0
182,2013-12-22,0
183,2013-12-23,0
184,2013-12-24,0
185,2013-12-25,0
186,2013-12-26,0
187,2013-12-27,0
188,2013-12-28,0
189,2013-12-29,0
190,2013-12-30,0
191,2013-12-31,0
192,2014-01-01,0
193,2014-01-02,0
194,2014-01-03,0
195,2014-01-04,0
196,2014-01-05,0
197,2014-01-06,0
198,2014-01-07,0
199,2014-01-08,0
200,2014-01-09,0
201,2014-01-10,0
202,2014-01-11,0
203,2014-01-12,0
204,2014-01-13,0
205,2014-01-14,0
206,2014-01-15,0
207,2014-01-16,0
208,2014-01-17,0
209,2014-01-18,0
210,2014-01-19,0
211,2014-01-20,0
212,2014-01-21,0
213,2014-01-22,0
214,2014-01-23,0
215,2014-01-24,0
216,2014-01-25,0
217,2014-01-26,0
218,2014-01-27,0
219,2014-01-28,0
220,2014-01-29,0
221,2014-01-30,0
222,2014-01-31,0
223,2014-02-01,0
224,2014-02-02,0
225,2014-02-03,0
226,2014-02-04,0
227,2014-02-05,0
228,2014-02-06,0
229,2014-02-07,0
230,2014-02-08,0
231,2014-02-09,0
232,2014-02-10,0
233,2014-02-11,0
234,2014-02-12,0
235,2014-02-13,0
236,2014-02-14,0
237,2014-02-15,0
238,2014-02-16,0
239,2014-02-17,0
240,2014-02-18,0
241,2014-02-19,0
242,2014-02-20,0
243,2014-02-21,0
244,2014-02-22,0
245,2014-02-23,0
246,2014-02-24,0
247,2014-02-25,0
248,2014-02-26,0
249,2014-02-27,0
250,2014-02-28,0
251,2014-03-01,0
252,2014-03-02,0
253,2014-03-03,0
254,2014-03-04,0
255,2014-03-05,0
256,2014-03-06,0
257,2014-03-07,0
258,2014-03-08,0
259,2014-03-09,0
260,2014-03-10,0
261,2014-03-11,0
262,2014-03-12,0
263,2014-03-13,0
264,2014-03-14,0
265,2014-03-15,0
266,2014-03-16,0
267,2014-03-17,0
268,2014-03-18,0
269,2014-03-19,100
270,2014-03-20,0
271,2014-03-21,0
