,date,value
290,2013-02-20,0
291,2013-02-21,0
292,2013-02-22,0
293,2013-02-23,40
294,2013-02-24,39
295,2013-02-25,0
296,2013-02-26,0
297,2013-02-27,0
298,2013-02-28,34
299,2013-03-01,35
300,2013-03-02,0
301,2013-03-03,0
302,2013-03-04,0
303,2013-03-05,0
304,2013-03-06,67
305,2013-03-07,0
306,2013-03-08,0
307,2013-03-09,0
308,2013-03-10,0
309,2013-03-11,0
310,2013-03-12,0
311,2013-03-13,65
312,2013-03-14,33
313,2013-03-15,0
314,2013-03-16,0
315,2013-03-17,77
316,2013-03-18,33
317,2013-03-19,0
318,2013-03-20,33
319,2013-03-21,33
320,2013-03-22,0
321,2013-03-23,0
322,2013-03-24,39
323,2013-03-25,0
324,2013-03-26,33
325,2013-03-27,0
326,2013-03-28,0
327,2013-03-29,0
328,2013-03-30,41
329,2013-03-31,0
330,2013-04-01,35
331,2013-04-02,33
332,2013-04-03,0
333,2013-04-04,33
334,2013-04-05,0
335,2013-04-06,0
336,2013-04-07,0
337,2013-04-08,0
338,2013-04-09,0
339,2013-04-10,33
340,2013-04-11,100
341,2013-04-12,0
342,2013-04-13,0
343,2013-04-14,0
344,2013-04-15,0
345,2013-04-16,0
346,2013-04-17,0
347,2013-04-18,34
348,2013-04-19,35
349,2013-04-20,0
350,2013-04-21,0
351,2013-04-22,0
352,2013-04-23,0
353,2013-04-24,0
354,2013-04-25,0
355,2013-04-26,0
356,2013-04-27,0
357,2013-04-28,0
358,2013-04-29,33
359,2013-04-30,0
360,2013-05-01,54
361,2013-05-02,34
362,2013-05-03,35
363,2013-05-04,41
364,2013-05-04,51
365,2013-05-05,51
366,2013-05-06,42
367,2013-05-07,0
368,2013-05-08,0
369,2013-05-09,0
370,2013-05-10,0
371,2013-05-11,50
372,2013-05-12,50
373,2013-05-13,0
374,2013-05-14,0
375,2013-05-15,0
376,2013-05-16,0
377,2013-05-17,43
378,2013-05-18,100
379,2013-05-19,0
380,2013-05-20,41
381,2013-05-21,0
382,2013-05-22,0
383,2013-05-23,0
384,2013-05-24,0
385,2013-05-25,0
386,2013-05-26,50
387,2013-05-27,0
388,2013-05-28,40
389,2013-05-29,41
390,2013-05-30,42
391,2013-05-31,0
392,2013-06-01,0
393,2013-06-02,0
394,2013-06-03,0
395,2013-06-04,0
396,2013-06-05,42
397,2013-06-06,84
398,2013-06-07,43
399,2013-06-08,0
400,2013-06-09,0
401,2013-06-10,0
402,2013-06-11,0
403,2013-06-12,0
404,2013-06-13,42
405,2013-06-14,0
406,2013-06-15,0
407,2013-06-16,0
408,2013-06-17,0
409,2013-06-18,0
410,2013-06-19,41
411,2013-06-20,0
412,2013-06-21,0
413,2013-06-22,0
414,2013-06-23,0
415,2013-06-24,0
416,2013-06-25,0
417,2013-06-26,84
418,2013-06-27,41
419,2013-06-28,0
420,2013-06-29,0
421,2013-06-30,0
422,2013-07-01,42
423,2013-07-02,0
424,2013-07-03,0
425,2013-07-04,0
426,2013-07-05,0
427,2013-07-06,0
428,2013-07-07,0
429,2013-07-08,0
430,2013-07-09,0
431,2013-07-10,0
432,2013-07-11,0
433,2013-07-12,0
434,2013-07-13,0
435,2013-07-14,0
436,2013-07-15,0
437,2013-07-16,0
438,2013-07-17,0
439,2013-07-18,0
440,2013-07-19,45
441,2013-07-20,52
442,2013-07-21,0
443,2013-07-22,0
444,2013-07-23,0
445,2013-07-24,0
446,2013-07-25,0
447,2013-07-26,0
448,2013-07-27,0
449,2013-07-28,0
450,2013-07-29,0
451,2013-07-30,42
452,2013-07-31,0
453,2013-08-01,0
454,2013-08-02,45
455,2013-08-03,0
456,2013-08-04,51
457,2013-08-05,0
458,2013-08-06,0
459,2013-08-07,0
460,2013-08-08,0
461,2013-08-09,0
462,2013-08-10,0
463,2013-08-11,0
464,2013-08-12,43
465,2013-08-13,41
466,2013-08-14,0
467,2013-08-15,0
468,2013-08-16,0
469,2013-08-17,51
470,2013-08-18,0
471,2013-08-19,42
472,2013-08-20,0
473,2013-08-21,0
474,2013-08-22,0
475,2013-08-23,0
476,2013-08-24,0
477,2013-08-25,0
478,2013-08-26,0
479,2013-08-27,0
480,2013-08-28,0
481,2013-08-29,41
482,2013-08-30,0
483,2013-08-31,0
484,2013-09-01,0
485,2013-09-02,0
486,2013-09-03,40
487,2013-09-04,0
488,2013-09-05,0
489,2013-09-06,0
490,2013-09-07,0
491,2013-09-08,0
492,2013-09-09,40
493,2013-09-10,0
494,2013-09-11,40
495,2013-09-12,0
496,2013-09-13,41
497,2013-09-14,0
498,2013-09-15,0
499,2013-09-16,0
500,2013-09-17,39
501,2013-09-18,40
502,2013-09-19,0
503,2013-09-20,42
504,2013-09-21,47
505,2013-09-22,0
506,2013-09-23,40
507,2013-09-24,0
508,2013-09-25,40
509,2013-09-26,0
510,2013-09-27,0
511,2013-09-28,0
512,2013-09-29,0
513,2013-09-30,39
514,2013-10-01,40
515,2013-10-02,0
516,2013-10-03,0
517,2013-10-04,0
518,2013-10-05,47
519,2013-10-06,46
520,2013-10-07,0
521,2013-10-08,39
522,2013-10-09,0
523,2013-10-10,40
524,2013-10-11,0
525,2013-10-12,0
526,2013-10-13,0
527,2013-10-14,40
528,2013-10-15,39
529,2013-10-16,40
530,2013-10-17,40
531,2013-10-18,0
532,2013-10-19,0
533,2013-10-20,0
534,2013-10-21,38
535,2013-10-22,77
536,2013-10-23,0
537,2013-10-24,39
538,2013-10-25,41
539,2013-10-26,0
540,2013-10-27,45
541,2013-10-28,38
542,2013-10-29,0
543,2013-10-30,0
544,2013-10-31,0
545,2013-11-01,42
546,2013-11-01,0
547,2013-11-02,0
548,2013-11-03,0
549,2013-11-04,35
550,2013-11-05,35
551,2013-11-06,70
552,2013-11-07,0
553,2013-11-08,37
554,2013-11-09,0
555,2013-11-10,0
556,2013-11-11,0
557,2013-11-12,0
558,2013-11-13,70
559,2013-11-14,36
560,2013-11-15,74
561,2013-11-16,42
562,2013-11-17,0
563,2013-11-18,35
564,2013-11-19,35
565,2013-11-20,35
566,2013-11-21,0
567,2013-11-22,36
568,2013-11-23,0
569,2013-11-24,0
570,2013-11-25,0
571,2013-11-26,0
572,2013-11-27,70
573,2013-11-28,0
574,2013-11-29,0
575,2013-11-30,0
576,2013-12-01,0
577,2013-12-02,34
578,2013-12-03,0
579,2013-12-04,34
580,2013-12-05,35
581,2013-12-06,36
582,2013-12-07,0
583,2013-12-08,0
584,2013-12-09,35
585,2013-12-10,35
586,2013-12-11,35
587,2013-12-12,36
588,2013-12-13,0
589,2013-12-14,42
590,2013-12-15,0
591,2013-12-16,35
592,2013-12-17,0
593,2013-12-18,0
594,2013-12-19,0
595,2013-12-20,39
596,2013-12-21,0
597,2013-12-22,0
598,2013-12-23,0
599,2013-12-24,0
600,2013-12-25,0
601,2013-12-26,0
602,2013-12-27,0
603,2013-12-28,0
604,2013-12-29,0
605,2013-12-30,0
606,2013-12-31,0
607,2014-01-01,0
608,2014-01-02,0
609,2014-01-03,0
610,2014-01-04,40
611,2014-01-05,0
612,2014-01-06,0
613,2014-01-07,0
614,2014-01-08,34
615,2014-01-09,0
