,date,value
290,2011-10-17,39
291,2011-10-18,30
292,2011-10-19,54
293,2011-10-20,50
294,2011-10-21,47
295,2011-10-22,28
296,2011-10-23,44
297,2011-10-24,43
298,2011-10-25,34
299,2011-10-26,52
300,2011-10-27,55
301,2011-10-28,73
302,2011-10-29,28
303,2011-10-30,62
304,2011-10-31,66
305,2011-11-01,51
306,2011-11-02,40
307,2011-11-03,49
308,2011-11-04,46
309,2011-11-05,18
310,2011-11-06,53
311,2011-11-07,29
312,2011-11-08,36
313,2011-11-09,44
314,2011-11-10,34
315,2011-11-11,26
316,2011-11-12,36
317,2011-11-13,58
318,2011-11-14,50
319,2011-11-15,34
320,2011-11-16,43
321,2011-11-17,44
322,2011-11-18,36
323,2011-11-19,53
324,2011-11-20,70
325,2011-11-21,29
326,2011-11-22,62
327,2011-11-23,34
328,2011-11-24,38
329,2011-11-25,55
330,2011-11-26,42
331,2011-11-27,40
332,2011-11-28,42
333,2011-11-29,75
334,2011-11-30,81
335,2011-12-01,39
336,2011-12-02,35
337,2011-12-03,76
338,2011-12-04,40
339,2011-12-05,28
340,2011-12-06,61
341,2011-12-07,28
342,2011-12-08,39
343,2011-12-09,70
344,2011-12-10,52
345,2011-12-11,40
346,2011-12-12,56
347,2011-12-13,61
348,2011-12-14,86
349,2011-12-15,34
350,2011-12-16,35
351,2011-12-17,62
352,2011-12-18,47
353,2011-12-19,34
354,2011-12-20,73
355,2011-12-21,40
356,2011-12-22,38
357,2011-12-23,22
358,2011-12-24,40
359,2011-12-25,42
360,2011-12-26,17
361,2011-12-27,31
362,2011-12-28,100
363,2011-12-29,46
364,2011-12-29,22
365,2011-12-30,29
366,2011-12-31,40
367,2012-01-01,31
368,2012-01-02,32
369,2012-01-03,75
370,2012-01-04,22
371,2012-01-05,61
372,2012-01-06,55
373,2012-01-07,47
374,2012-01-08,40
375,2012-01-09,39
376,2012-01-10,53
377,2012-01-11,34
378,2012-01-12,39
379,2012-01-13,46
380,2012-01-14,53
381,2012-01-15,26
382,2012-01-16,34
383,2012-01-17,29
384,2012-01-18,42
385,2012-01-19,43
386,2012-01-20,45
387,2012-01-21,43
388,2012-01-22,85
389,2012-01-23,38
390,2012-01-24,14
391,2012-01-25,57
392,2012-01-26,58
393,2012-01-27,30
394,2012-01-28,41
395,2012-01-29,52
396,2012-01-30,61
397,2012-01-31,77
398,2012-02-01,56
399,2012-02-02,29
400,2012-02-03,40
401,2012-02-04,23
402,2012-02-05,67
403,2012-02-06,38
404,2012-02-07,65
405,2012-02-08,71
406,2012-02-09,52
407,2012-02-10,74
408,2012-02-11,62
409,2012-02-12,44
410,2012-02-13,37
411,2012-02-14,19
412,2012-02-15,43
413,2012-02-16,43
414,2012-02-17,70
415,2012-02-18,57
416,2012-02-19,29
417,2012-02-20,29
418,2012-02-21,43
419,2012-02-22,76
420,2012-02-23,47
421,2012-02-24,44
422,2012-02-25,23
423,2012-02-26,45
424,2012-02-27,37
425,2012-02-28,32
426,2012-02-29,75
427,2012-03-01,34
428,2012-03-02,36
429,2012-03-03,47
430,2012-03-04,87
431,2012-03-05,38
432,2012-03-06,47
433,2012-03-07,37
434,2012-03-08,48
435,2012-03-09,49
436,2012-03-10,39
437,2012-03-11,55
438,2012-03-12,37
439,2012-03-13,51
440,2012-03-14,47
441,2012-03-15,38
442,2012-03-16,37
443,2012-03-17,17
444,2012-03-18,62
445,2012-03-19,70
446,2012-03-20,51
447,2012-03-21,47
448,2012-03-22,36
449,2012-03-23,52
450,2012-03-24,43
451,2012-03-25,61
452,2012-03-26,33
453,2012-03-27,49
454,2012-03-28,57
455,2012-03-29,29
456,2012-03-30,45
457,2012-03-31,68
458,2012-04-01,52
459,2012-04-02,24
460,2012-04-03,52
461,2012-04-04,73
462,2012-04-05,60
463,2012-04-06,33
464,2012-04-07,30
465,2012-04-08,49
466,2012-04-09,72
467,2012-04-10,15
468,2012-04-11,70
469,2012-04-12,47
470,2012-04-13,69
471,2012-04-14,45
472,2012-04-15,62
473,2012-04-16,34
474,2012-04-17,51
475,2012-04-18,42
476,2012-04-19,66
477,2012-04-20,39
478,2012-04-21,76
479,2012-04-22,66
480,2012-04-23,62
481,2012-04-24,46
482,2012-04-25,28
483,2012-04-26,28
484,2012-04-27,59
485,2012-04-28,60
486,2012-04-29,40
487,2012-04-30,44
488,2012-05-01,30
489,2012-05-02,42
490,2012-05-03,37
491,2012-05-04,34
492,2012-05-05,34
493,2012-05-06,44
494,2012-05-07,46
495,2012-05-08,28
496,2012-05-09,46
497,2012-05-10,28
498,2012-05-11,73
499,2012-05-12,26
500,2012-05-13,45
501,2012-05-14,46
502,2012-05-15,100
503,2012-05-16,56
504,2012-05-17,48
505,2012-05-18,44
506,2012-05-19,41
507,2012-05-20,28
508,2012-05-21,55
509,2012-05-22,41
510,2012-05-23,55
511,2012-05-24,66
512,2012-05-25,74
513,2012-05-26,47
514,2012-05-27,35
515,2012-05-28,34
516,2012-05-29,36
517,2012-05-30,46
518,2012-05-31,56
519,2012-06-01,58
520,2012-06-02,43
521,2012-06-03,59
522,2012-06-04,59
523,2012-06-05,48
524,2012-06-06,73
525,2012-06-07,56
526,2012-06-08,39
527,2012-06-09,96
528,2012-06-10,73
529,2012-06-11,32
530,2012-06-12,27
531,2012-06-13,41
532,2012-06-14,33
533,2012-06-15,68
534,2012-06-16,43
535,2012-06-17,34
536,2012-06-18,41
537,2012-06-19,45
538,2012-06-20,51
539,2012-06-21,65
540,2012-06-22,29
541,2012-06-23,58
542,2012-06-24,69
543,2012-06-25,59
544,2012-06-26,55
545,2012-06-27,76
546,2012-06-27,46
547,2012-06-28,25
548,2012-06-29,35
549,2012-06-30,20
550,2012-07-01,24
551,2012-07-02,24
552,2012-07-03,12
553,2012-07-04,31
554,2012-07-05,22
555,2012-07-06,26
556,2012-07-07,26
557,2012-07-08,13
558,2012-07-09,16
559,2012-07-10,100
560,2012-07-11,57
561,2012-07-12,36
562,2012-07-13,9
563,2012-07-14,20
564,2012-07-15,15
565,2012-07-16,30
566,2012-07-17,22
567,2012-07-18,17
568,2012-07-19,28
569,2012-07-20,32
570,2012-07-21,45
571,2012-07-22,26
572,2012-07-23,22
573,2012-07-24,19
574,2012-07-25,28
575,2012-07-26,28
576,2012-07-27,20
577,2012-07-28,41
578,2012-07-29,27
579,2012-07-30,22
580,2012-07-31,11
581,2012-08-01,33
582,2012-08-02,17
583,2012-08-03,22
584,2012-08-04,15
585,2012-08-05,41
586,2012-08-06,16
587,2012-08-07,36
588,2012-08-08,22
589,2012-08-09,25
590,2012-08-10,41
591,2012-08-11,24
592,2012-08-12,17
593,2012-08-13,19
594,2012-08-14,30
595,2012-08-15,23
596,2012-08-16,50
597,2012-08-17,29
598,2012-08-18,41
599,2012-08-19,31
600,2012-08-20,20
601,2012-08-21,36
602,2012-08-22,41
603,2012-08-23,52
604,2012-08-24,29
605,2012-08-25,23
606,2012-08-26,32
607,2012-08-27,44
608,2012-08-28,34
609,2012-08-29,37
610,2012-08-30,27
611,2012-08-31,36
612,2012-09-01,36
613,2012-09-02,49
614,2012-09-03,27
615,2012-09-04,24
616,2012-09-05,61
617,2012-09-06,30
618,2012-09-07,34
619,2012-09-08,39
620,2012-09-09,32
621,2012-09-10,31
622,2012-09-11,36
623,2012-09-12,26
624,2012-09-13,37
625,2012-09-14,44
626,2012-09-15,38
627,2012-09-16,19
628,2012-09-17,39
629,2012-09-18,27
630,2012-09-19,47
631,2012-09-20,28
632,2012-09-21,19
633,2012-09-22,29
634,2012-09-23,25
635,2012-09-24,28
636,2012-09-25,41
637,2012-09-26,44
638,2012-09-27,26
639,2012-09-28,49
640,2012-09-29,22
