"date","close","volume","open","high","low"
"16:00","234.03","100,410,277","234.01","235.34","233.60"
"2017/03/23","234.0300","100172100.0000","234.0000","235.3400","233.6000"
"2017/03/22","234.2800","97233080.0000","233.7700","234.6100","233.0500"
"2017/03/21","233.7300","131204400.0000","237.4700","237.6100","233.5800"
"2017/03/20","236.7700","52529210.0000","237.0300","237.3600","236.3200"
"2017/03/17","237.0300","88284080.0000","237.7500","237.9700","237.0300"
"2017/03/16","238.4800","77761390.0000","239.1100","239.2000","238.1000"
"2017/03/15","238.9500","95071850.0000","237.5600","239.4400","237.2900"
"2017/03/14","236.9000","59838300.0000","237.1800","237.2400","236.1900"
"2017/03/13","237.8100","57058040.0000","237.6200","237.8600","237.2400"
"2017/03/10","237.6900","81757000.0000","237.9700","238.0200","236.5900"
"2017/03/09","236.8600","90332120.0000","236.7000","237.2400","235.7400"
"2017/03/08","236.5600","77619600.0000","237.3400","237.6400","236.4000"
"2017/03/07","237.0000","64807970.0000","237.3600","237.7700","236.7600"
"2017/03/06","237.7100","54424270.0000","237.5000","238.1200","237.0100"
"2017/03/03","238.4200","81726380.0000","238.1700","238.6100","237.7300"
"2017/03/02","238.2700","70152200.0000","239.5600","239.5700","238.2100"
"2017/03/01","239.7800","148882400.0000","238.3900","240.3200","238.3700"
"2017/02/28","236.4700","95717730.0000","236.6700","236.9500","236.0150"
"2017/02/27","237.1100","56404310.0000","236.6400","237.3100","236.3500"
"2017/02/24","236.7400","82311890.0000","235.4600","236.7932","235.4100"
"2017/02/23","236.4400","72812210.0000","236.8800","236.9000","235.5600"
"2017/02/22","236.2800","61918630.0000","236.0200","236.5400","235.8300"
"2017/02/21","236.4900","87736380.0000","235.5200","236.6900","235.5100"
"2017/02/17","235.0900","76881310.0000","233.9500","235.0900","233.9300"
"2017/02/16","234.7200","84574430.0000","234.9600","235.1550","233.8500"
"2017/02/15","234.9200","86213560.0000","233.4500","235.1400","233.3900"
"2017/02/14","233.7000","70023470.0000","232.5600","233.7100","232.1600"
"2017/02/13","232.7700","55023690.0000","232.0800","233.0700","232.0500"
"2017/02/10","231.5100","65951540.0000","231.0000","231.7700","230.6216"
"2017/02/09","230.6000","65823370.0000","229.5600","230.9500","229.5200"
"2017/02/08","229.2400","51381110.0000","228.6100","229.3900","228.3100"
"2017/02/07","228.9400","57818730.0000","229.3800","229.6556","228.7200"
"2017/02/06","228.9300","57729810.0000","228.8700","229.3260","228.5400"
"2017/02/03","229.3400","80474030.0000","228.8200","229.5500","228.4600"
"2017/02/02","227.7700","69506430.0000","227.2000","228.1000","226.8200"
"2017/02/01","227.6200","78927270.0000","228.2550","228.5900","226.9400"
"2017/01/31","227.5300","75379530.0000","226.9800","227.6000","226.3200"
"2017/01/30","227.5500","79549380.0000","228.1700","228.2000","226.4100"
"2017/01/27","228.9700","59643600.0000","229.4200","229.5900","228.7600"
"2017/01/26","229.3300","59753620.0000","229.4000","229.7100","229.0100"
"2017/01/25","229.5700","84105490.0000","228.7000","229.5700","228.5100"
"2017/01/24","227.6000","95251650.0000","226.4000","228.0800","226.2700"
"2017/01/23","226.1500","74924440.0000","226.3500","226.8050","225.2700"
"2017/01/20","226.7400","126753400.0000","226.7000","227.3100","225.9719"
"2017/01/19","225.9100","66166860.0000","226.8400","227.0000","225.4100"
"2017/01/18","226.7500","54598260.0000","226.5350","226.8000","225.9000"
"2017/01/17","226.2500","61098430.0000","226.3100","226.7800","225.8000"
"2017/01/13","227.0500","62681260.0000","226.7300","227.4000","226.6900"
"2017/01/12","226.5300","72028310.0000","226.5000","226.7500","224.9550"
"2017/01/11","227.1000","74510600.0000","226.3600","227.1000","225.5900"
"2017/01/10","226.4600","63204500.0000","226.4800","227.4500","226.0100"
"2017/01/09","226.4600","46723610.0000","226.9100","227.0701","226.4163"
"2017/01/06","227.2100","71356460.0000","226.5300","227.7500","225.9000"
"2017/01/05","226.4000","78291080.0000","226.2700","226.5800","225.4800"
"2017/01/04","226.5800","78458530.0000","225.6200","226.7500","225.6100"
"2017/01/03","225.2400","91087570.0000","225.0400","225.8300","223.8837"
"2016/12/30","223.5300","108693200.0000","224.7300","224.8300","222.7300"
"2016/12/29","224.3500","48614080.0000","224.4800","224.8900","223.8400"
"2016/12/28","224.4000","64009720.0000","226.5700","226.5900","224.2700"
"2016/12/27","226.2700","42619920.0000","226.0200","226.7300","226.0000"
"2016/12/23","225.7100","36670460.0000","225.4300","225.7200","225.2100"
"2016/12/22","225.3800","55966720.0000","225.6000","225.7400","224.9200"
"2016/12/21","225.7700","67782110.0000","226.2500","226.4500","225.7700"
"2016/12/20","226.4000","89669640.0000","226.1500","226.5700","225.8800"
"2016/12/19","225.5300","90032620.0000","225.2500","226.0200","225.0800"
"2016/12/16","225.0400","156228600.0000","226.0100","226.0800","224.6700"
"2016/12/15","226.8100","123647300.0000","226.1600","227.8100","225.8904"
"2016/12/14","225.8800","141538000.0000","227.4100","228.2300","225.3650"
"2016/12/13","227.7600","110247300.0000","227.0200","228.3400","227.0000"
"2016/12/12","226.2500","101715300.0000","226.4000","226.9600","225.7600"
"2016/12/09","226.5100","87827850.0000","225.4100","226.5300","225.3700"
"2016/12/08","225.1500","96247920.0000","224.5700","225.7000","224.2600"
"2016/12/07","224.6000","110194800.0000","221.5200","224.6700","221.3800"
"2016/12/06","221.7000","59512650.0000","221.2200","221.7441","220.6620"
"2016/12/05","221.0000","67101250.0000","220.6500","221.4000","220.4200"
"2016/12/02","219.6800","74621240.0000","219.6700","220.2500","219.2600"
"2016/12/01","219.5700","78874240.0000","220.7300","220.7300","219.1500"
"2016/11/30","220.3800","112309600.0000","221.6300","221.8200","220.3100"
"2016/11/29","220.9100","69579660.0000","220.5200","221.4400","220.1700"
"2016/11/28","220.4800","76527520.0000","221.1600","221.4800","220.3600"
"2016/11/25","221.5200","37872260.0000","221.1000","221.5600","221.0100"
"2016/11/23","220.7000","56502980.0000","219.9800","220.7600","219.7500"
"2016/11/22","220.5800","67275320.0000","220.5100","220.7900","219.7300"
"2016/11/21","220.1500","72151670.0000","219.1700","220.1800","219.0000"
"2016/11/18","218.5000","86161200.0000","219.0700","219.2700","218.2900"
"2016/11/17","218.9900","69130300.0000","218.0500","219.0600","217.9200"
"2016/11/16","217.8700","65385810.0000","217.5600","218.1400","217.4200"
"2016/11/15","218.2800","91367180.0000","217.0400","218.2800","216.8000"
"2016/11/14","216.5900","94378460.0000","217.0300","217.2700","215.7200"
"2016/11/11","216.4200","100424400.0000","216.0800","216.7000","215.3200"
"2016/11/10","216.9200","171730900.0000","217.3000","218.3100","215.2200"
"2016/11/09","216.3792","257961800.0000","212.3700","217.1000","212.3400"
"2016/11/08","214.1100","104838900.0000","212.6900","214.7700","212.3800"
"2016/11/07","213.1500","109397700.0000","211.4500","213.1900","211.3000"
"2016/11/04","208.5500","108488200.0000","208.9100","209.8900","208.3800"
"2016/11/03","208.7800","88715720.0000","209.9900","210.2400","208.4600"
"2016/11/02","209.7400","102709200.0000","210.6500","211.1000","209.2300"
"2016/11/01","211.0100","122395800.0000","212.9300","212.9900","209.6000"
"2016/10/31","212.5500","60669300.0000","212.9300","213.1900","212.3600"
"2016/10/28","212.5400","140491700.0000","213.1400","213.9300","211.7100"
"2016/10/27","213.1700","77031450.0000","214.5800","214.6200","213.0800"
"2016/10/26","213.7400","75561030.0000","213.2100","214.4200","212.9300"
"2016/10/25","214.1700","66356080.0000","214.6800","214.9800","213.9800"
"2016/10/24","214.8900","59934750.0000","215.0000","215.3200","214.4800"
"2016/10/21","213.9800","88974470.0000","212.9600","214.0800","212.7600"
"2016/10/20","213.8800","73492220.0000","213.8700","214.5300","213.1100"
"2016/10/19","214.2800","66342420.0000","214.0200","214.6400","213.6000"
"2016/10/18","213.7100","76618560.0000","214.2400","214.3100","213.2700"
"2016/10/17","212.3800","58185200.0000","213.0900","213.3900","212.1700"
"2016/10/14","213.1200","93285170.0000","214.1500","214.6900","213.0300"
"2016/10/13","213.0100","101184500.0000","212.1600","213.5900","211.2100"
"2016/10/12","213.7100","73322980.0000","213.5900","214.3200","213.0100"
"2016/10/11","213.4300","130183700.0000","215.6600","215.7400","212.5800"
"2016/10/10","216.1600","51620410.0000","216.1550","216.7000","215.9850"
"2016/10/07","215.0400","89597910.0000","216.1000","216.3000","214.1900"
"2016/10/06","215.7800","62519840.0000","215.3700","216.0400","214.7350"
"2016/10/05","215.6300","72685460.0000","215.4100","216.1300","215.3300"
"2016/10/04","214.6800","119749100.0000","215.9100","216.1700","213.9900"
"2016/10/03","215.7800","83386110.0000","215.8200","216.0400","215.0400"
"2016/09/30","216.3000","115113500.0000","215.6500","217.1200","215.3600"
"2016/09/29","214.6800","127225400.0000","216.4000","216.8700","214.0400"
"2016/09/28","216.6400","87095790.0000","215.8300","216.8200","214.7100"
"2016/09/27","215.5700","77854200.0000","214.0500","215.6800","213.6200"
"2016/09/26","214.2400","89700700.0000","215.0200","215.2300","214.0100"
"2016/09/23","215.9900","73464500.0000","216.7200","216.8800","215.8800"
"2016/09/22","217.1800","76535390.0000","217.0000","217.5300","216.7100"
"2016/09/21","215.8200","110068700.0000","214.2400","216.0300","213.4400"
"2016/09/20","213.4200","69217930.0000","214.4100","214.5900","213.3800"
"2016/09/19","213.4100","80099180.0000","214.1300","214.8800","213.0300"
"2016/09/16","213.3700","155109000.0000","213.4800","213.6900","212.5700"
"2016/09/15","215.2800","144092600.0000","212.9600","215.7300","212.7500"
"2016/09/14","213.1500","133064600.0000","213.2900","214.7000","212.5000"
"2016/09/13","213.2300","182323200.0000","214.8400","215.1499","212.5000"
"2016/09/12","216.3400","167653400.0000","212.3900","216.8100","212.3100"
"2016/09/09","213.2800","220309300.0000","216.9700","217.0300","213.2500"
"2016/09/08","218.5100","73855230.0000","218.6200","218.9400","218.1500"
"2016/09/07","219.0100","76302150.0000","218.8400","219.2200","218.3000"
"2016/09/06","219.0308","56528000.0000","218.7000","219.1200","217.8600"
"2016/09/02","218.3700","79119470.0000","218.3900","218.8700","217.7000"
"2016/09/01","217.3900","97720490.0000","217.3700","217.7300","216.0300"
"2016/08/31","217.3800","84916020.0000","217.6100","217.7500","216.4650"
"2016/08/30","218.0000","57588550.0000","218.2600","218.5900","217.3500"
"2016/08/29","218.3608","70431280.0000","217.4400","218.6650","217.4000"
"2016/08/26","217.2900","122386400.0000","217.9200","219.1200","216.2500"
"2016/08/25","217.7000","69128600.0000","217.4000","218.1900","217.2200"
"2016/08/24","217.8500","71553010.0000","218.8000","218.9100","217.3600"
"2016/08/23","218.9700","53289030.0000","219.2500","219.6000","218.9000"
"2016/08/22","218.5300","61318460.0000","218.2600","218.8000","217.8300"
"2016/08/19","218.5400","75244030.0000","218.3100","218.7500","217.7400"
"2016/08/18","218.8600","52668540.0000","218.3400","218.9000","218.2100"
"2016/08/17","218.3700","74886240.0000","218.0000","218.5300","217.0200"
"2016/08/16","217.9600","53068810.0000","218.6000","218.6800","217.9600"
"2016/08/15","219.0900","49712550.0000","218.8900","219.5000","218.8800"
"2016/08/12","218.4600","61208890.0000","218.2900","218.7100","217.9900"
"2016/08/11","218.6500","72337050.0000","218.2600","218.9400","217.9500"
